statement,veracity,light_normalization,full_normalization
"Says there's a ""100-year-old international norm not to use chemical weapons.""",1,"says there's a ""100-year-old international norm not to use chemical weapons.""",year old international norm use chemical weapon
"""The average family premium has increased by 29% under Obama!""",1,"""the average family premium has increased by 29% under obama!""",average family premium increase obama
"""The House did vote against engagement in Kosovo, and Bill Clinton kept fighting anyway. And, then, ultimately, a vote did pass.""",1,"""the house did vote against engagement in kosovo, and bill clinton kept fighting anyway. and, then, ultimately, a vote did pass.""",house vote engagement kosovo bill clinton fight ultimately vote pass
A proposed San Antonio ordinance will allow men into women’s restrooms in the city.,0,a proposed san antonio ordinance will allow men into womens restrooms in the city.,propose san antonio ordinance allow man woman restroom city
Americans spend more than $160 billion and 6 billion hours per year complying with the tax code.,1,americans spend more than $160 billion and 6 billion hours per year complying with the tax code.,american spend billion billion hour year comply tax code
"Under the Endangered Species Act, ""only 1 percent of the species that have been listed have actually been delisted.""",1,"under the endangered species act, ""only 1 percent of the species that have been listed have actually been delisted.""",endanger specie act percent specie list actually delist
"Fleeing Syria, ""a million children are now refugees.""",1,"fleeing syria, ""a million children are now refugees.""",flee syria million child refugee
"""There’s only one candidate under investigation -- Terry McAuliffe.""",0,"""theres only one candidate under investigation -- terry mcauliffe.""",candidate investigation terry mcauliffe
"Obamacare-caused paperwork will annually absorb 190 million hours or more--and Mount Rushmore could be built 1,547 times over ""with the paperwork.""",0,"obamacare-caused paperwork will annually absorb 190 million hours or more--and mount rushmore could be built 1,547 times over ""with the paperwork.""",obamacare cause paperwork annually absorb million hour mount rushmore build time paperwork
"""The city of Portland has won more national Constitution contests than any city in America.""",1,"""the city of portland has won more national constitution contests than any city in america.""",city portland win national constitution contest city america
Says Ken Cuccinelli supported a law that could allow people to carry missile launchers into airports.,0,says ken cuccinelli supported a law that could allow people to carry missile launchers into airports.,ken cuccinelli support law allow people carry missile launcher airport
"The R.I. Turnpike and Bridge Authority ""was supposed to exist only until the bonds used to build the Newport Bridge were paid off through tolls. Once the bonds were paid, the Newport Bridge was to be transferred to the State of Rhode Island and become toll-free.""",1,"the r.i. turnpike and bridge authority ""was supposed to exist only until the bonds used to build the newport bridge were paid off through tolls. once the bonds were paid, the newport bridge was to be transferred to the state of rhode island and become toll-free.""",turnpike bridge authority suppose exist bond use build newport bridge pay toll bond pay newport bridge transfer state rhode island toll free
